Case Id,Prefix length,Trace Prefix Act,Ground truth,Predicted,Damerau-Levenshtein,Jaccard,Weight
Case 1122,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1124,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1129,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 114,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1142,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1144,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1145,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 115,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1156,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1159,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1164,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1169,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1176,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1179,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1185,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1193,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 12,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1210,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1221,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1235,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1238,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1239,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1246,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1249,1,§,¥,¡¢£¤,0.0,0.0,0.0
Case 1250,1,¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1254,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1261,1,¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1269,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1272,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1275,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 129,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1290,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1292,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1299,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 13,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1301,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1303,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1304,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1305,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1309,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 131,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1313,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1314,1,¡,¢¥¦£¤,¢£¤,0.6,0.6,0.0
Case 1315,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1318,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1319,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1323,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1327,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1330,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1332,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1338,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1356,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1358,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1359,1,§,¥,¡¢£¤,0.0,0.0,0.0
Case 1364,1,¡,¢¥­­£¤,¢£¤,0.5,0.6,0.0
Case 1366,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1371,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1375,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1384,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1386,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1387,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1388,1,¡,¢¥­­£¤,¢£¤,0.5,0.6,0.0
Case 1393,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1396,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1397,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1398,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 140,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1407,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1409,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1420,1,¡,¢¥¨£¤,¢£¤,0.6,0.6,0.0
Case 143,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1432,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1433,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 144,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1441,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1445,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1449,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 145,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1450,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1451,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1457,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1460,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1464,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1465,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1466,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 147,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1471,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1478,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1484,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1487,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1495,1,¡,¢¥­­£¤,¢£¤,0.5,0.6,0.0
Case 15,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1500,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1501,1,¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1506,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1507,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1509,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1510,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1519,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1535,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 154,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1543,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1553,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 156,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1562,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1570,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1571,1,¡,¢¥¥¥¥¥,¢£¤,0.16666666666666663,0.25,0.0
Case 1574,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1577,1,§,¡¡¢£¤,¡¢£¤,0.8,1.0,0.0
Case 1580,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1587,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1603,1,¡,££¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1604,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1605,1,¡,¢¢¥£¤,¢£¤,0.6,0.75,0.0
Case 1609,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1610,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1615,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1650,1,¡,¦¦¬¬­£¤,¢£¤,0.2857142857142857,0.33333333333333326,0.0
Case 1655,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1658,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 1663,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1664,1,¢,£¤,£¤,1.0,1.0,0.0
Case 1671,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1674,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1675,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1679,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1681,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1682,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 169,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1691,1,§,¡¢¥£¤,¡¢£¤,0.8,0.8,0.0
Case 1697,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1704,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1709,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1711,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1718,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1723,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1730,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1735,1,¡,­££¤,¢£¤,0.5,0.5,0.0
Case 1746,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1754,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1760,1,¡,¢£¢¥¢£¤,¢£¤,0.4285714285714286,0.75,0.0
Case 1761,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1764,1,¡,­££¤,¢£¤,0.5,0.5,0.0
Case 1771,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1772,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1776,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1777,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1787,1,¡,¢¥¥££¤,¢£¤,0.5,0.75,0.0
Case 1788,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1791,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1792,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1795,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1799,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 18,1,¡,¢££¤,¢£¤,0.75,1.0,0.0
Case 1812,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1813,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1814,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1815,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1817,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1823,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1826,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1828,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1831,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 184,1,¡,¢¢¥£¤,¢£¤,0.6,0.75,0.0
Case 1843,1,¡,¡£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1848,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1858,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 1860,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1868,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1869,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1874,1,§,¡¢¥£¤,¡¢£¤,0.8,0.8,0.0
Case 1882,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1884,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1887,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1892,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1894,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1900,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1901,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1903,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 191,1,¡,¡¢£¤,¢£¤,0.75,0.75,0.0
Case 1915,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1916,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1918,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 192,1,¡,¡¢£¤¢£¤,¢£¤,0.4285714285714286,0.75,0.0
Case 1924,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 193,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1946,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1961,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1968,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1975,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 1978,1,¡,¥¢¥£¤,¢£¤,0.6,0.75,0.0
Case 1980,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1987,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 20,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2007,1,¡,¢­££¤,¢£¤,0.6,0.75,0.0
Case 2013,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 202,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2021,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2022,1,¡,¡¡¥£¤,¢£¤,0.4,0.4,0.0
Case 2035,1,¡,¢¦­£¤,¢£¤,0.6,0.6,0.0
Case 2037,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2050,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2059,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2062,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2068,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2074,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2081,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 2083,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2092,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2093,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2097,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 210,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2103,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2104,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 2105,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2108,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 211,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2112,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2117,1,¡,¥¥£¢££¤,¢£¤,0.4285714285714286,0.75,0.0
Case 2121,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2123,1,¡,¡¢££¤,¢£¤,0.6,0.75,0.0
Case 2125,1,¡,¢¥­,¢£¤,0.33333333333333337,0.19999999999999996,0.0
Case 2126,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2134,1,¡,¥¢£¤,¢£¤,0.75,0.75,0.0
Case 2141,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2142,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2143,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 2152,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2156,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2157,1,¡,££¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2163,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2167,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2168,1,¡,¢¥¥£¤,¢£¤,0.6,0.75,0.0
Case 2172,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2176,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2177,1,¡,¥¥£¤,¢£¤,0.5,0.5,0.0
Case 2183,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2187,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2191,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2197,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2201,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2203,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2210,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2211,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2215,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2219,1,¡,¢¥¢£¤,¢£¤,0.6,0.75,0.0
Case 2220,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2227,1,¡,££¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2228,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2229,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 2232,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2236,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2239,1,¡,¢££¢¥£¤,¢£¤,0.4285714285714286,0.75,0.0
Case 2245,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2253,1,¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2256,1,¡,£¤,¢£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2267,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2268,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2279,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2285,1,¡,¥¢¥£¤,¢£¤,0.6,0.75,0.0
Case 2290,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2296,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 23,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 230,1,¡,¡¢¥£¤,¢£¤,0.6,0.6,0.0
Case 2300,1,¡,¢­­¦­,¢£¤,0.19999999999999996,0.19999999999999996,0.0
Case 2302,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2308,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2315,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 232,1,¡,¢¥¥££¤,¢£¤,0.5,0.75,0.0
Case 2322,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2328,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 233,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2330,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2335,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2342,1,¡,¢¥¥£¤,¢£¤,0.6,0.75,0.0
Case 2346,1,§,¡¢¥£¤,¡¢£¤,0.8,0.8,0.0
Case 2348,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 235,1,§,¡¢¥£¤,¡¢£¤,0.8,0.8,0.0
Case 2356,1,¡,¢¥¥£¤,¢£¤,0.6,0.75,0.0
Case 2362,1,¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.0
Case 2367,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2368,1,¡,¡¢£¢£££­¢¥¥£¤,¢£¤,0.23076923076923073,0.5,0.0
Case 237,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 2374,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2375,1,¡,¡¡¢£¤,¢£¤,0.6,0.75,0.0
Case 2380,1,¡,¢¥¢£¤,¢£¤,0.6,0.75,0.0
Case 2381,1,¡,¡¡££¤,¢£¤,0.4,0.5,0.0
Case 2390,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2391,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2398,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2399,1,¡,¢¢£¤,¢£¤,0.75,1.0,0.0
Case 2403,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2415,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2417,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 242,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2431,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2432,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2436,1,¡,£¤¢,¢£¤,0.33333333333333337,1.0,0.0
Case 2447,1,¡,¢¢£¤,¢£¤,0.75,1.0,0.0
Case 2448,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2451,1,¡,¢¦­­£,¢£¤,0.19999999999999996,0.4,0.0
Case 2452,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2455,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2458,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2465,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2466,1,¡,¢­­£¤,¢£¤,0.6,0.75,0.0
Case 247,1,§,¢£¤,¡¢£¤,0.75,0.75,0.0
Case 2473,1,¡,¢¥¢¥£¤,¢£¤,0.5,0.75,0.0
Case 2474,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2476,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 2481,1,¡,¢­£¤,¢£¤,0.75,0.75,0.0
Case 2490,1,¡,¡¢¥£¤,¢£¤,0.6,0.6,0.0
Case 2492,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2498,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2499,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2504,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2508,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2512,1,¡,¢¥££¤,¢£¤,0.6,0.75,0.0
Case 2514,1,¡,¢¥¥£¤,¢£¤,0.6,0.75,0.0
Case 2522,1,¡,¢¥££¤,¢£¤,0.6,0.75,0.0
Case 253,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2530,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2534,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2541,1,¢,£¤,£¤,1.0,1.0,0.0
Case 2550,1,¡,¢¥¥££¤,¢£¤,0.5,0.75,0.0
Case 2555,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2558,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2569,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2571,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2577,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2581,1,¡,¡¢¥£¤,¢£¤,0.6,0.6,0.0
Case 2585,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2591,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2593,1,¡,­£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 2596,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2598,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2599,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 2603,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2607,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
Case 2609,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 261,1,¡,¢£¤,¢£¤,1.0,1.0,0.0
